Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
0	-2.307517e+09	-2.307517e+09	-166.281	10	10	10	0.3235319	0.142851	0.384373	0.472776	0.428553	1.15312	1.41833	0.7	2.5817	0.354068	0.705378	1.0795	1.86106	0.000483297	0.0339217	0.133674	0.273477	0.346393	0.0397389	0.140023	0.0322892	0.00386638	0.271373	1.06939	2.18781	2.77115	0.317911	1.12018	0.258313	19.45526
1	-3.517129e+07	-3.517109e+07	-199.3288	10	9.60396	10	0.55612	0.317047	0.306258	0.376695	0.95114	0.918774	1.13009	1.614639	2.5817	0.354068	0.705378	1.0795	1.86106	0.00154608	0.0373026	0.146997	0.300733	0.380917	0.0436995	0.053297	0.0355073	0.0123687	0.29842	1.17597	2.40587	3.04734	0.349596	0.426376	0.284059	22.68492
2	-1.714198e+07	-1.714174e+07	-235.5216	10	9.60396	10	0.55612	0.531156	0.347488	0.121356	1.59347	1.04246	0.364067	2.19158	2.151329	0.310694	0.670198	1.07335	1.94576	0.00154608	0.0373026	0.146997	0.300733	0.380917	0.0436995	0.053297	0.0355073	0.0123687	0.29842	1.17597	2.40587	3.04734	0.349596	0.426376	0.284059	26.24651
3	-1133528	-1133258	-270.1597	10	9.60396	9.97233	0.9423781	0.723453	0.160826	0.115722	2.17036	0.482477	0.347165	1.898503	2.151329	0.310694	0.670198	1.07335	1.94576	0.00302273	0.0372474	0.146779	0.300289	0.380354	0.0436349	0.0532182	0.0354548	0.0241818	0.297979	1.17423	2.40231	3.04283	0.349079	0.425746	0.283639	29.70377
4	-123226	-122948	-277.9517	10	9.60396	9.95313	3.246049	0.723453	0.160826	0.115722	2.17036	0.482477	0.347165	1.394057	2.151329	0.310694	0.670198	1.07335	1.94576	0.00302273	0.0372474	0.146779	0.300289	0.380354	0.0436349	0.0532182	0.0354548	0.0241818	0.297979	1.17423	2.40231	3.04283	0.349079	0.425746	0.283639	30.30497
5	-67192.44	-66923.44	-268.9989	10	9.60396	9.95313	5.115428	0.932291	0.0393759	0.0283328	2.79687	0.118128	0.0849984	1.028796	0.9368919	0.124196	0.456925	0.988702	2.43018	0.00303769	0.0374317	0.147506	0.301775	0.382236	0.0438509	0.0534816	0.0306817	0.0243015	0.299454	1.18005	2.4142	3.05789	0.350807	0.427853	0.245453	29.25928
6	-48666.42	-48402.64	-263.7813	10	9.60396	9.95313	9.503437	0.932291	0.0393759	0.0283328	2.79687	0.118128	0.0849984	1.072899	0.9368919	0.124196	0.456925	0.988702	2.43018	0.00701147	0.04253	0.167596	0.203114	0.434298	0.0498235	0.060766	0.0348606	0.0560917	0.34024	1.34077	1.62491	3.47439	0.398588	0.486128	0.278885	28.29431
7	-43747.67	-43496.23	-251.4374	10	9.60396	9.95313	14.84274	0.947399	0.0259452	0.0266557	2.8422	0.0778356	0.0799671	1.429934	0.9368919	0.124196	0.456925	0.988702	2.43018	0.00975579	0.0591765	0.233195	0.282613	0.200819	0.0693247	0.0966111	0.0485052	0.0780463	0.473412	1.86556	2.26091	1.60655	0.554597	0.772889	0.388042	26.49028
8	-39789.69	-39553.53	-236.1596	10	9.60396	9.94483	18.34748	0.984718	0.00753784	0.00774426	2.95415	0.0226135	0.0232328	1.915504	0.9368919	0.124196	0.456925	0.988702	2.43018	0.00975579	0.0591765	0.233195	0.282613	0.200819	0.0693247	0.0966111	0.0485052	0.0780463	0.473412	1.86556	2.26091	1.60655	0.554597	0.772889	0.388042	24.5643
9	-37660.52	-37441.34	-219.1784	9.96078	7.66009	6.99302	22.66381	0.973116	0.019828	0.0070557	2.91935	0.0594841	0.0211671	1.83746	0.6459124	0.0626949	0.336852	0.903049	2.6974	0.00975579	0.0591765	0.233195	0.282613	0.200819	0.0693247	0.0966111	0.0485052	0.0780463	0.473412	1.86556	2.26091	1.60655	0.554597	0.772889	0.388042	22.93584
10	-35981.87	-35782.9	-198.9629	9.96078	7.66009	6.99302	16.47399	0.973116	0.019828	0.0070557	2.91935	0.0594841	0.0211671	1.803132	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.0315946	0.0637689	0.251292	0.205859	0.216403	0.0747046	0.104109	0.0522695	0.252757	0.510151	2.01033	1.64687	1.73122	0.597637	0.832869	0.418156	21.53671
11	-34643.32	-34454.53	-188.7899	9.96078	7.66009	6.99302	14.91991	0.97433	0.0186052	0.0070645	2.92299	0.0558157	0.0211935	1.803132	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.030475	0.0615091	0.242386	0.198564	0.208734	0.0720572	0.135857	0.0504172	0.2438	0.492072	1.93909	1.58851	1.66987	0.576458	1.08686	0.403337	20.67481
12	-33159.18	-32986.88	-172.299	9.91025	7.65691	2.72314	14.91991	0.97433	0.0186052	0.0070645	2.92299	0.0558157	0.0211935	1.885437	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.030475	0.0615091	0.242386	0.198564	0.208734	0.0720572	0.135857	0.0504172	0.2438	0.492072	1.93909	1.58851	1.66987	0.576458	1.08686	0.403337	19.44986
13	-31621.85	-31467.45	-154.4022	6.59196	7.65691	2.72314	14.91991	0.97433	0.0186052	0.0070645	2.92299	0.0558157	0.0211935	1.791829	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.030475	0.0615091	0.242386	0.198564	0.208734	0.0720572	0.135857	0.0504172	0.2438	0.492072	1.93909	1.58851	1.66987	0.576458	1.08686	0.403337	18.00137
14	-30729.31	-30580.81	-148.4941	6.57389	7.68147	2.72141	14.91991	0.970727	0.0185364	0.0107366	2.91218	0.0556093	0.0322099	1.791829	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.0737736	0.0587621	0.231561	0.189696	0.199412	0.0688392	0.12979	0.0481655	0.590188	0.470097	1.85249	1.51757	1.5953	0.550713	1.03832	0.385324	17.41008
15	-30360.48	-30216.92	-143.5509	6.57389	7.68147	2.72141	14.91991	0.970727	0.0185364	0.0107366	2.91218	0.0556093	0.0322099	2.353687	0.7605972	0.0871512	0.390773	0.945409	2.57667	0.0737736	0.0587621	0.231561	0.189696	0.199412	0.0688392	0.12979	0.0481655	0.590188	0.470097	1.85249	1.51757	1.5953	0.550713	1.03832	0.385324	16.85957
